L 08/24/1999 - 10:52:18: Log file started.
L 08/24/1999 - 10:52:18: Spawning server "hunted"
L 08/24/1999 - 10:52:18: server cvars start
L 08/24/1999 - 10:52:18: "cr_random" = "0"
L 08/24/1999 - 10:52:18: "cr_engineer" = "0"
L 08/24/1999 - 10:52:18: "cr_spy" = "0"
L 08/24/1999 - 10:52:18: "cr_pyro" = "0"
L 08/24/1999 - 10:52:18: "cr_hwguy" = "0"
L 08/24/1999 - 10:52:18: "cr_medic" = "0"
L 08/24/1999 - 10:52:18: "cr_demoman" = "0"
L 08/24/1999 - 10:52:18: "cr_soldier" = "0"
L 08/24/1999 - 10:52:18: "cr_sniper" = "0"
L 08/24/1999 - 10:52:18: "cr_scout" = "0"
L 08/24/1999 - 10:52:18: "decalfrequency" = "30"
L 08/24/1999 - 10:52:18: "mp_autocrosshair" = "1"
L 08/24/1999 - 10:52:18: "mp_flashlight" = "0"
L 08/24/1999 - 10:52:18: "mp_footsteps" = "1"
L 08/24/1999 - 10:52:18: "mp_forcerespawn" = "1"
L 08/24/1999 - 10:52:18: "mp_weaponstay" = "0"
L 08/24/1999 - 10:52:18: "mp_falldamage" = "0"
L 08/24/1999 - 10:52:18: "mp_friendlyfire" = "0"
L 08/24/1999 - 10:52:18: "mp_timelimit" = "30"
L 08/24/1999 - 10:52:18: "mp_fraglimit" = "0"
L 08/24/1999 - 10:52:18: "mp_teamplay" = "21"
L 08/24/1999 - 10:52:18: "tfc_balance_scores" = "1.0"
L 08/24/1999 - 10:52:18: "tfc_balance_teams" = "1.0"
L 08/24/1999 - 10:52:18: "tfc_adminpwd" = ""
L 08/24/1999 - 10:52:18: "tfc_clanbattle_locked" = "0.0"
L 08/24/1999 - 10:52:18: "tfc_clanbattle" = "0.0"
L 08/24/1999 - 10:52:18: "tfc_respawndelay" = "0.0"
L 08/24/1999 - 10:52:18: "tfc_autoteam" = "1"
L 08/24/1999 - 10:52:18: "sv_maxrate" = "0"
L 08/24/1999 - 10:52:18: "sv_minrate" = "0"
L 08/24/1999 - 10:52:18: "sv_allowupload" = "1"
L 08/24/1999 - 10:52:18: "sv_allowdownload" = "1"
L 08/24/1999 - 10:52:18: "sv_upload_maxsize" = "0"
L 08/24/1999 - 10:52:18: "sv_spectatormaxspeed" = "500"
L 08/24/1999 - 10:52:18: "sv_spectalk" = "1"
L 08/24/1999 - 10:52:18: "sv_maxspectators" = "8"
L 08/24/1999 - 10:52:18: "sv_cheats" = "0"
L 08/24/1999 - 10:52:18: "sv_clienttrace" = "3.5"
L 08/24/1999 - 10:52:18: "sv_timeout" = "65"
L 08/24/1999 - 10:52:18: "sv_waterfriction" = "1"
L 08/24/1999 - 10:52:18: "sv_wateraccelerate" = "10"
L 08/24/1999 - 10:52:18: "sv_airaccelerate" = "10"
L 08/24/1999 - 10:52:18: "sv_airmove" = "1"
L 08/24/1999 - 10:52:18: "sv_bounce" = "1"
L 08/24/1999 - 10:52:18: "sv_clipmode" = "0"
L 08/24/1999 - 10:52:18: "sv_stepsize" = "18"
L 08/24/1999 - 10:52:18: "sv_accelerate" = "10"
L 08/24/1999 - 10:52:18: "sv_maxspeed" = "500.000000"
L 08/24/1999 - 10:52:18: "sv_stopspeed" = "100"
L 08/24/1999 - 10:52:18: "edgefriction" = "2"
L 08/24/1999 - 10:52:18: "sv_friction" = "4"
L 08/24/1999 - 10:52:18: "sv_gravity" = "800"
L 08/24/1999 - 10:52:18: "sv_aim" = "0"
L 08/24/1999 - 10:52:18: "sv_password" = ""
L 08/24/1999 - 10:52:18: "pausable" = "0"
L 08/24/1999 - 10:52:18: "coop" = "0"
L 08/24/1999 - 10:52:18: "deathmatch" = "1"
L 08/24/1999 - 10:52:18: "mp_logecho" = "1"
L 08/24/1999 - 10:52:18: "mp_logfile" = "1"
L 08/24/1999 - 10:52:18: "cmdline" = "0"
L 08/24/1999 - 10:52:18: server cvars end
L 08/24/1999 - 10:52:19: Map CRC "-1879475242"
L 08/24/1999 - 10:52:19: "sv_maxspeed" = "500"
L 08/24/1999 - 10:52:19: Server name is "VALVe Test Server"
L 08/24/1999 - 10:52:19: "sv_maxspeed" = "500.000000"
L 08/24/1999 - 10:52:26: "Dante<8><WON:1623209>" has entered the game
L 08/24/1999 - 10:52:33: "Dante<8>" say "ill change the map"
L 08/24/1999 - 10:52:38: "Dante<8>" disconnected
L 08/24/1999 - 10:52:38: Log closed.
